atoms:
	legal(blue, noop)
	legal(green, noop)
	legal(red, noop)
	legal_place(blue, a, 1)
	legal_place(green, a, 1)
	legal_place(red, a, 1)
	legal_place(blue, b, 1)
	legal_place(green, b, 1)
	legal_place(red, b, 1)
	legal_place(blue, c, 1)
	legal_place(green, c, 1)
	legal_place(red, c, 1)
	legal_place(blue, d, 1)
	legal_place(green, d, 1)
	legal_place(red, d, 1)
	legal_place(blue, e, 1)
	legal_place(green, e, 1)
	legal_place(red, e, 1)
	legal_place(blue, f, 1)
	legal_place(green, f, 1)
	legal_place(red, f, 1)
	legal_place(blue, g, 1)
	legal_place(green, g, 1)
	legal_place(red, g, 1)
	legal_place(blue, h, 1)
	legal_place(green, h, 1)
	legal_place(red, h, 1)
	legal_place(blue, i, 1)
	legal_place(green, i, 1)
	legal_place(red, i, 1)
	legal_place(blue, a, 2)
	legal_place(green, a, 2)
	legal_place(red, a, 2)
	legal_place(blue, b, 2)
	legal_place(green, b, 2)
	legal_place(red, b, 2)
	legal_place(blue, c, 2)
	legal_place(green, c, 2)
	legal_place(red, c, 2)
	legal_place(blue, d, 2)
	legal_place(green, d, 2)
	legal_place(red, d, 2)
	legal_place(blue, e, 2)
	legal_place(green, e, 2)
	legal_place(red, e, 2)
	legal_place(blue, f, 2)
	legal_place(green, f, 2)
	legal_place(red, f, 2)
	legal_place(blue, g, 2)
	legal_place(green, g, 2)
	legal_place(red, g, 2)
	legal_place(blue, h, 2)
	legal_place(green, h, 2)
	legal_place(red, h, 2)
	legal_place(blue, i, 2)
	legal_place(green, i, 2)
	legal_place(red, i, 2)
	legal_place(blue, a, 3)
	legal_place(green, a, 3)
	legal_place(red, a, 3)
	legal_place(blue, b, 3)
	legal_place(green, b, 3)
	legal_place(red, b, 3)
	legal_place(blue, c, 3)
	legal_place(green, c, 3)
	legal_place(red, c, 3)
	legal_place(blue, d, 3)
	legal_place(green, d, 3)
	legal_place(red, d, 3)
	legal_place(blue, e, 3)
	legal_place(green, e, 3)
	legal_place(red, e, 3)
	legal_place(blue, f, 3)
	legal_place(green, f, 3)
	legal_place(red, f, 3)
	legal_place(blue, g, 3)
	legal_place(green, g, 3)
	legal_place(red, g, 3)
	legal_place(blue, h, 3)
	legal_place(green, h, 3)
	legal_place(red, h, 3)
	legal_place(blue, i, 3)
	legal_place(green, i, 3)
	legal_place(red, i, 3)
	legal_place(blue, a, 4)
	legal_place(green, a, 4)
	legal_place(red, a, 4)
	legal_place(blue, b, 4)
	legal_place(green, b, 4)
	legal_place(red, b, 4)
	legal_place(blue, c, 4)
	legal_place(green, c, 4)
	legal_place(red, c, 4)
	legal_place(blue, d, 4)
	legal_place(green, d, 4)
	legal_place(red, d, 4)
	legal_place(blue, e, 4)
	legal_place(green, e, 4)
	legal_place(red, e, 4)
	legal_place(blue, f, 4)
	legal_place(green, f, 4)
	legal_place(red, f, 4)
	legal_place(blue, g, 4)
	legal_place(green, g, 4)
	legal_place(red, g, 4)
	legal_place(blue, h, 4)
	legal_place(green, h, 4)
	legal_place(red, h, 4)
	legal_place(blue, i, 4)
	legal_place(green, i, 4)
	legal_place(red, i, 4)
	legal_place(blue, a, 5)
	legal_place(green, a, 5)
	legal_place(red, a, 5)
	legal_place(blue, b, 5)
	legal_place(green, b, 5)
	legal_place(red, b, 5)
	legal_place(blue, c, 5)
	legal_place(green, c, 5)
	legal_place(red, c, 5)
	legal_place(blue, d, 5)
	legal_place(green, d, 5)
	legal_place(red, d, 5)
	legal_place(blue, e, 5)
	legal_place(green, e, 5)
	legal_place(red, e, 5)
	legal_place(blue, f, 5)
	legal_place(green, f, 5)
	legal_place(red, f, 5)
